ID;Species;Interaction;Longitude;Latitude;Year_collect
40;Eufriesea_surinamensis;host;-39.855;-18.35777778;2009
41;Eufriesea_surinamensis;host;-39.8525;-18.38777778;2009
46;Eufriesea_surinamensis;host;-40.04222222;-19.15638889;2009
57;Eufriesea_surinamensis;host;-42.58472222;-19.65111111;2000
63;Eufriesea_surinamensis;host;-41.82388889;-19.73166667;2013
65;Eufriesea_surinamensis;host;-41.82361111;-19.71;2013
85;Eufriesea_surinamensis;host;-41.2;-21.55;2005
86;Eufriesea_surinamensis;host;-41.43333333;-21.8;2009
120;Eufriesea_surinamensis;host;-68.70722222;-8.848888889;2004
123;Eufriesea_surinamensis;host;-46.25;-4.5;1998
125;Eufriesea_surinamensis;host;-43.42222222;-3.240555556;2001
126;Eufriesea_surinamensis;host;-44.05;-2.433333333;1998
127;Eufriesea_surinamensis;host;-42.83;-2.723888889;1999
135;Eufriesea_surinamensis;host;-46.15;-23.75;2009
136;Eufriesea_surinamensis;host;-45.45;-23.75;2009
141;Eufriesea_surinamensis;host;-46.13333333;-23.85;2009
151;Eufriesea_surinamensis;host;-41.67555556;-21.88805556;1999
153;Eufriesea_surinamensis;host;-79.84611111;9.154166667;1980
156;Eufriesea_surinamensis;host;-44.832472;-23.364361;2009
157;Eufriesea_surinamensis;host;-45.070972;-23.540278;2009
159;Eufriesea_surinamensis;host;-41.066667;-21.4;2009
160;Eufriesea_surinamensis;host;-42.033333;-21.4;2009
161;Eufriesea_surinamensis;host;-42.083333;-22.083333;2009
163;Eufriesea_surinamensis;host;-92.316667;15.166667;2008
187;Eufriesea_surinamensis;host;-52.085694;-12.870139;2011
193;Eufriesea_surinamensis;host;-35.0625;-8.235833;2003
215;Eufriesea_surinamensis;host;-88.2775;15.5283;2013
217;Eufriesea_surinamensis;host;-48.390833;-19.169167;2013
226;Eufriesea_surinamensis;host;-51.130833;-0.050556;2012
244;Eufriesea_surinamensis;host;-45.873;-23.376;2015
250;Eufriesea_surinamensis;host;-46.011094;-1.250261;2014
255;Eufriesea_surinamensis;host;-47.8475;-21.221667;2019
256;Eufriesea_surinamensis;host;-47.8475;-21.221667;1991
284;Eufriesea_surinamensis;host;-42.341389;-3.738056;2009
299;Eufriesea_surinamensis;host;-45.534;-6.3756;2013
301;Eufriesea_surinamensis;host;-48.229167;-18.910278;2016
156;Eulaema_cingulata;host;-44.832472;-23.364361;2009
157;Eulaema_cingulata;host;-45.070972;-23.540278;2009
159;Eulaema_cingulata;host;-41.066667;-21.4;2009
160;Eulaema_cingulata;host;-42.033333;-21.4;2009
161;Eulaema_cingulata;host;-42.083333;-22.083333;2009
163;Eulaema_cingulata;host;-92.316667;15.166667;2008
168;Eulaema_cingulata;host;-39.166667;-13.8;2006
169;Eulaema_cingulata;host;-64.053056;-8.875;2012
177;Eulaema_cingulata;host;-48.61775;-14.26528;2012
180;Eulaema_cingulata;host;-48.32472;-17.29139;2012
185;Eulaema_cingulata;host;-42.093889;-22.0975;2009
186;Eulaema_cingulata;host;-41.086111;-21.4125;2009
187;Eulaema_cingulata;host;-52.085694;-12.870139;2011
188;Eulaema_cingulata;host;-48.300556;-25.16;2010
198;Eulaema_cingulata;host;-74.26875;6.044667;2007
199;Eulaema_cingulata;host;-74.198639;6.021694;2007
200;Eulaema_cingulata;host;-74.883333;5.883333;2008
204;Eulaema_cingulata;host;-61.016667;1.931667;2012
205;Eulaema_cingulata;host;-78.083333;1.3;2005
210;Eulaema_cingulata;host;-48.200833;-18.891111;2013
212;Eulaema_cingulata;host;-48.394722;-19.167778;2008
214;Eulaema_cingulata;host;-43.34207;-18.116311;2012
218;Eulaema_cingulata;host;-45.456111;-22.930556;2015
219;Eulaema_cingulata;host;-45.068889;-23.436944;2015
220;Eulaema_cingulata;host;-48.384167;-18.497222;2013
